radio_apertura_pix,n_estrellas_con_vecino_dentro
47.91640958561649,144
48.08394947927249,144
48.251489372928496,144
48.419029266584495,144
48.5865691602405,144
48.7541090538965,144
48.921648947552505,144
49.089188841208504,144
49.2567287348645,144
49.42426862852051,144
49.59180852217651,144
49.75934841583251,144
49.92688830948851,144
50.09442820314452,145
