id,x,y,n_pix_anillo,q1,mediana_cielo,q3,iqr,limite_superior_boxplot,n_outliers_altos,frac_outliers_altos,p95,maximo,contaminada
38,104.586,136.127,1254,36.458383560180664,41.67784118652344,46.375484466552734,9.91710090637207,61.25113582611084,19,0.015151515151515152,54.45464248657227,82.84210968017578,False
39,309.174,148.571,754,38.18180465698242,42.92873573303223,48.90275001525879,10.720945358276367,64.98416805267334,37,0.04907161803713528,64.35645866394044,457.7602233886719,True
40,271.025,149.511,1256,37.883057594299316,42.76303482055664,47.62777805328369,9.744720458984375,62.244858741760254,10,0.007961783439490446,56.091012954711914,92.10334777832031,False
41,116.514,150.312,1258,37.187530517578125,42.2726936340332,47.74233627319336,10.554805755615234,63.57454490661621,39,0.031001589825119236,58.563293266296384,102.89449310302734,True
42,231.652,151.147,1255,38.9985237121582,44.008846282958984,50.07076835632324,11.072244644165039,66.6791353225708,79,0.06294820717131475,75.25308151245108,3041.944091796875,True
43,123.943,154.833,1257,36.855098724365234,41.53062057495117,46.837398529052734,9.9822998046875,61.810848236083984,6,0.00477326968973747,54.24035415649414,82.84210968017578,False
44,152.0,161.477,1256,36.956748962402344,41.73507118225098,46.94216537475586,9.985416412353516,61.92028999328613,20,0.01592356687898089,55.62025260925293,102.89449310302734,False
45,70.097,162.685,1257,36.553470611572266,41.18531036376953,46.56962585449219,10.016155242919922,61.59385871887207,24,0.01909307875894988,55.28895492553711,151.2503662109375,False
46,83.546,165.04,1254,36.350345611572266,41.07147979736328,46.02373123168945,9.673385620117188,60.533809661865234,18,0.014354066985645933,54.3599136352539,84.11105346679688,False
47,132.558,163.975,1254,37.256582260131836,41.706382751464844,46.89001655578613,9.633434295654297,61.34016799926758,16,0.012759170653907496,54.68910312652588,84.30652618408203,False
48,221.473,165.47,1258,38.01662063598633,43.16271781921387,48.535691261291504,10.519070625305176,64.31429719924927,46,0.03656597774244833,60.32656974792479,126.22089385986328,True
49,200.379,171.92,1258,39.57656478881836,45.27449035644531,53.93450927734375,14.35794448852539,75.47142601013184,120,0.09538950715421304,119.1177265167233,7081.75146484375,True
