x,y,mag,merr,dist_vecino_mas_cercano,indice_vecino_mas_cercano
277.576,286.628,17.23,0.137,0.0,88
197.398,293.315,16.048,0.051,10.378575865695634,93
187.887,297.469,15.494,0.031,10.378575865695634,92
226.107,297.396,17.545,0.189,14.573236085372358,97
255.499,298.436,16.721,0.093,25.03642931809568,88
208.784,305.09,19.033,0.809,16.37960991599004,92
227.316,311.919,17.596,0.222,14.573236085372358,94
282.302,311.754,16.984,0.107,25.566598365836658,88
313.297,321.553,,,32.50708270515827,98
45.053,324.257,14.306,0.012,40.679794910987425,109
209.484,325.528,14.128,0.011,20.44998396087395,96
120.446,326.496,17.03,0.115,39.05939545103072,110
276.45,341.561,17.546,0.191,21.269097324522292,108
244.274,344.899,16.946,0.112,24.88989483706191,111
85.692,352.054,18.089,0.292,0.0912688336728271,107
182.764,351.628,18.221,0.351,23.932929302532102,112
85.601,352.047,18.07,0.288,0.0912688336728271,105
271.376,362.216,16.605,0.082,20.964344301694716,111
35.936,363.902,21.075,4.699,40.679794910987425,100
129.904,364.393,15.174,0.024,39.05939545103072,102
251.45,368.732,,,20.96313492777262,113
191.181,374.032,16.591,0.075,23.932929302532102,106
266.201,383.627,17.776,0.231,20.96313492777262,111
202.576,396.153,17.04,0.114,8.326631972172182,116
295.467,398.381,15.895,0.043,9.415116621688806,119
204.712,404.201,16.608,0.077,6.231448306774277,118
104.801,403.356,16.989,0.116,24.13699080250062,127
210.53,406.433,17.202,0.134,6.231448306774277,116
295.612,407.795,16.296,0.07,9.415116621688806,115
26.885,408.579,16.237,0.059,17.36076553611619,123
268.22,409.813,17.437,0.18,13.0350914841439,124
68.519,412.594,17.035,0.116,25.25666717918261,123
43.313,414.193,16.012,0.047,17.36076553611619,120
257.981,417.88,17.323,0.171,13.0350914841439,121
308.58,418.177,,,16.611891764636535,119
241.931,419.237,16.931,0.107,16.107263858272127,124
105.111,427.491,14.569,0.014,24.13699080250062,117
271.953,429.382,15.859,0.042,7.483174860979849,129
279.244,431.067,16.143,0.057,7.483174860979849,128
288.097,441.083,18.169,0.332,7.918448964285857,131
293.65,446.728,17.827,0.23,7.918448964285857,130
124.958,452.527,17.288,0.15,0.09055385138139507,135
314.326,450.406,,,21.000587134649397,131
75.532,451.673,16.816,0.1,8.933006772638207,137
125.02,452.593,17.335,0.156,0.09055385138139507,132
170.97,455.367,17.293,0.153,17.324117408976406,139
68.673,457.396,16.363,0.063,8.933006772638207,134
258.543,463.761,16.806,0.103,13.359666650032853,140
164.67,471.505,17.907,0.256,17.324117408976406,136
254.71,476.559,17.609,0.212,13.359666650032853,138
295.068,480.779,16.142,0.057,7.144704612508476,143
220.583,483.154,17.794,0.222,34.758396884781675,140
293.37,487.719,16.329,0.076,7.144704612508476,141
260.613,495.347,16.546,0.083,16.774821161490827,145
271.821,507.828,,,16.774821161490827,144
